"","Paper         ","TC","TCperYear"
"1","AUCHINCLOSS LC, 2014, CBE-LIFE SCI EDUC","216","30.9"
"2","JENSEN JL, 2015, CBE-LIFE SCI EDUC     ","215","35.8"
"3","BROWNELL SE, 2012, CBE-LIFE SCI EDUC   ","163","18.1"
"4","ANDREWS TM, 2011, CBE-LIFE SCI EDUC    ","154","15.4"
"5","EDDY SL, 2014, CBE-LIFE SCI EDUC       ","134","19.1"
"6","MORAVEC M, 2010, CBE-LIFE SCI EDUC     ","130","11.8"
"7","MAHER JM, 2013, CBE-LIFE SCI EDUC      ","127","15.9"
"8","TANNER KD, 2012, CBE-LIFE SCI EDUC     ","125","13.9"
"9","SMITH MK, 2013, CBE-LIFE SCI EDUC      ","117","14.6"
"10","SMITH MK, 2011, CBE-LIFE SCI EDUC-a    ","112","11.2"
