"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","TANNER KD   ","23","TANNER KD   ","10.81"
"2","BROWNELL SE ","21","BROWNELL SE "," 5.92"
"3","KNIGHT JK   ","21","KNIGHT JK   "," 5.59"
"4","SMITH MK    ","17","[ANONYMOUS] "," 5.00"
"5","DOLAN EL    ","16","ALLEN D     "," 4.14"
"6","ANDREWS TC  ","11","BRAME CJ    "," 3.83"
"7","COUCH BA    ","11","SMITH MK    "," 3.78"
"8","CORWIN LA   ","10","DOLAN EL    "," 3.60"
"9","EDDY SL     ","10","ANDREWS TC  "," 3.14"
"10","WENDEROTH MP","10","SCHUSSLER EE"," 2.68"
